date,gdpc1,gdppot,nrou
1972-04-01,5760.47,5688.794205471516,6.02569055557251
1972-07-01,5814.854,5735.01252721653,6.041317
1972-10-01,5912.22,5782.348420969389,6.056706
1973-01-01,6058.544,5830.6639389494085,6.0717453956604
1973-04-01,6124.506,5880.964999959673,6.086335
1973-07-01,6092.301,5931.893431456161,6.100386619567871
1973-10-01,6150.131,5983.963113314532,6.11383056640625
1974-01-01,6097.258,6036.840251387802,6.126616477966309
1974-04-01,6111.751,6090.335456182356,6.138715
1974-07-01,6053.978,6143.2062197787955,6.1501145362854
1974-10-01,6030.464,6195.475445431862,6.1608195304870605
1975-01-01,5957.035,6246.482861537268,6.170844
1975-04-01,5999.61,6296.513228943918,6.180209
1975-07-01,6102.326,6346.032060224159,6.188934
1975-10-01,6184.53,6395.3936260234,6.197032451629639
1976-01-01,6323.649,6444.359681612424,6.204509
1976-04-01,6370.025,6493.923529668127,6.211358
1976-07-01,6404.895,6544.87347714477,6.217563
1976-10-01,6451.177,6596.49865666572,6.223099
1977-01-01,6527.703,6649.907668623456,6.227931
1977-04-01,6654.466,6704.5911506223665,6.232016563415527
1977-07-01,6774.457,6760.097061899438,6.235309
1977-10-01,6774.592,6817.110564476192,6.237757
1978-01-01,6796.26,6875.56387545695,6.239311
1978-04-01,7058.92,6935.187458572837,6.239927
1978-07-01,7129.915,6996.456191626586,6.239574432373047
1978-10-01,7225.75,7058.973644917547,6.238234519958496
1979-01-01,7238.727,7123.3135223529,6.235909461975098
1979-04-01,7246.454,7185.317079852492,6.232617
1979-07-01,7300.281,7243.781017529022,6.2283935546875
1979-10-01,7318.535,7298.013253331672,6.22329
1980-01-01,7341.557,7346.736445194209,6.22320640721058
1980-04-01,7190.289,7389.862876051715,6.214445920687717
1980-07-01,7181.743,7426.754999764931,6.20568214830647
1980-10-01,7315.677,7465.298162717056,6.196909429829753
1981-01-01,7459.022,7508.084206685456,6.188120345103287
1981-04-01,7403.745,7554.009065783638,6.17930610228008
1981-07-01,7492.405,7602.714114407346,6.170456780353049
1981-10-01,7410.768,7654.364351740863,6.161561483332004
1982-01-01,7295.631,7708.282365291767,6.152608442404458
1982-04-01,7328.912,7763.629992676451,6.143585085278605
1982-07-01,7300.896,7820.189965259816,6.13447808484682
1982-10-01,7303.817,7878.160361445345,6.125273394360952
1983-01-01,7400.066,7935.937607522994,6.115956273183003
1983-04-01,7568.456,7994.859898020182,6.10651130516273
1983-07-01,7719.746,8055.370064425959,6.096922410327377
1983-10-01,7880.794,8118.4215710115395,6.087172849586956
1984-01-01,8034.847,8184.120399041658,6.077245221451282
1984-04-01,8173.67,8252.361160817512,6.067121449278656
1984-07-01,8252.465,8322.352341108082,6.05678275733291
1984-10-01,8320.199,8393.840778029926,6.04620963394339
1985-01-01,8400.82,8466.09433779299,6.035381780382186
1985-04-01,8474.787,8538.856407644294,6.024278237998455
1985-07-01,8604.22,8611.892420843267,6.012878079880752
1985-10-01,8668.188,8684.996064979776,6.00116223674976
1986-01-01,8749.127,8757.928247157974,5.989116414842148
1986-04-01,8788.524,8830.616845345656,5.976734424943743
1986-07-01,8872.601,8903.37814226691,5.96401752308534
1986-10-01,8920.193,8976.124748908698,5.9509733113858925
1987-01-01,8986.367,9048.669254874285,5.93761432694183
1987-04-01,9083.256,9120.473464934588,5.9239565541955255
1987-07-01,9162.024,9191.50594011684,5.910018036177342
1987-10-01,9319.332,9262.55407738218,5.895817685945078
1988-01-01,9367.502,9332.89816233194,5.881374336705857
1988-04-01,9490.594,9402.936119398,5.866706042791119
1988-07-01,9546.206,9472.37290461828,5.8518296238788325
1988-10-01,9673.405,9541.739852701116,5.836760431905278
1989-01-01,9771.725,9610.898343572995,5.821512311844543
1989-04-01,9846.293,9679.752477782387,5.806097722352712
1989-07-01,9919.228,9748.474214363136,5.790527979192876
1989-10-01,9938.767,9817.083496427222,5.774813582840189
1990-01-01,10047.386,9885.457213629248,5.758964591342092
1990-04-01,10083.855,9953.52039531658,5.742991000135081
1990-07-01,10090.569,10020.58247629744,5.726903091933299
1990-10-01,9998.704,10086.676972233356,5.710711721892166
1991-01-01,9951.916,10152.177204066918,5.694428505931164
1991-04-01,10029.51,10216.905817665383,5.678065883314299
1991-07-01,10080.195,10281.57022722389,5.661637028291996
1991-10-01,10115.329,10347.376832231384,5.645155589773301
1992-01-01,10236.435,10414.244254417565,5.628635242602321
1992-04-01,10347.429,10482.223100445655,5.612089039046045
1992-07-01,10449.673,10551.784861690372,5.595528554558459
1992-10-01,10558.648,10622.618090341755,5.578962827771389
1993-01-01,10576.275,10695.542384138176,5.55200824023352
1993-04-01,10637.847,10769.570878061651,5.5325457029884095
1993-07-01,10688.606,10844.632547478088,5.5128995105853695
1993-10-01,10833.987,10921.031467364262,5.49312813937566
1994-01-01,10939.116,10998.74859058424,5.47329460823613
1994-04-01,11087.361,11076.949095369497,5.45346531882121
1994-07-01,11152.176,11156.409419615584,5.433708845509489
1994-10-01,11279.932,11237.096679902585,5.41409470278955
1995-01-01,11319.951,11318.730971934145,5.39469211786714
1995-04-01,11353.721,11401.545122180349,5.37556883567923
1995-07-01,11450.31,11485.08306305804,5.3567899822909295
1995-10-01,11528.067,11570.743237913231,5.338417010860329
1996-01-01,11614.418,11658.23583382563,5.320506752031689
1996-04-01,11808.14,11750.806721393768,5.3031105878163
1996-07-01,11914.063,11849.53413723492,5.28627376481136
1996-10-01,12037.775,11954.099435992814,5.270034859068169
1997-01-01,12115.472,12064.075854277851,5.25442540113615
1997-04-01,12317.221,12178.421723773972,5.23946966586832
1997-07-01,12471.01,12297.625499441529,5.22518462756924
1997-10-01,12577.495,12420.639898841882,5.21158007709276
1998-01-01,12703.742,12547.22445560292,5.19865889364543
1998-04-01,12821.339,12677.452576465224,5.1864174604119695
1998-07-01,12982.752,12809.972981996802,5.17484620977586
1998-10-01,13191.67,12945.270977878106,5.16393028093661
1999-01-01,13315.597,13083.46512991397,5.1536502701945
1999-04-01,13426.748,13222.90842921196,5.1439830521394
1999-07-01,13604.771,13363.358248838398,5.13490264848964
1999-10-01,13827.98,13505.49631232712,5.12638112041102
2000-01-01,13878.147,13648.58537128962,5.118389459825649
2000-04-01,14130.908,13788.681311811208,5.11089845549919
2000-07-01,14145.312,13923.902474247976,5.10387951056623
2000-10-01,14229.765,14053.43426698748,5.0973053895934894
2001-01-01,14183.12,14177.014871405334,5.09115087525391
2001-04-01,14271.694,14293.255366424008,5.0853933171443
2001-07-01,14214.516,14401.428785467464,5.08001305816486
2001-10-01,14253.574,14502.3757251484,5.0749937271223695
2002-01-01,14372.785,14596.981913208332,5.07032238974232
2002-04-01,14460.848,14687.090370319847,5.0659895539952
2002-07-01,14519.633,14774.58935298112,5.06198902947023
2002-10-01,14537.58,14860.705908247191,5.05831764437482
2003-01-01,14614.141,14947.163122044543,5.0549748275089
2003-04-01,14743.567,15035.055434315627,5.05196206617004
2003-07-01,14988.782,15124.158937215894,5.04928225430245
2003-10-01,15162.76,15215.896309544176,5.0469389482292
2004-01-01,15248.68,15310.64980463486,5.044935549930529
2004-04-01,15366.85,15407.299881195731,5.04327443998783
2004-07-01,15512.619,15506.39166779942,5.04195608394937
2004-10-01,15670.88,15607.359583040596,5.04097813694991
2005-01-01,15844.727,15707.318610353295,5.04033457190233
2005-04-01,15922.782,15805.16528365269,5.04001485646218
2005-07-01,16047.587,15902.191878355608,5.04000320324226
2005-10-01,16136.734,15997.875321123143,5.040277916439569
2006-01-01,16353.835,16091.603317517098,5.04081085615472
2006-04-01,16396.151,16183.163929732862,5.04156703927619
2006-07-01,16420.738,16270.761436348215,5.04250439291843
2006-10-01,16561.866,16354.469242438125,5.04357367310739
2007-01-01,16611.69,16438.582056258954,5.04471855777112
2007-04-01,16713.314,16523.062155053634,5.04587591919752
2007-07-01,16809.587,16608.026026757703,5.04697627705214
2007-10-01,16915.191,16691.712099349483,5.04794442889684
2008-01-01,16843.003,16774.77721545801,5.04870025100836
2008-04-01,16943.291,16854.431509824055,5.0491596582576
2008-07-01,16854.295,16929.753043277327,5.04923570796679
2008-10-01,16485.35,16999.9085535114,5.048839829099929
2009-01-01,16298.262,17063.79364520768,5.04788315494425
2009-04-01,16269.145,17122.682771242056,5.046277934679369
2009-07-01,16326.281,17177.41046139042,5.04393899697215
2009-10-01,16502.754,17230.326569658257,5.04078523703139
2010-01-01,16582.71,17284.089459018523,5.03674109744988
